beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs
0.4,0.4,-6.575791286694366,-6.575791286694366,0.0,-6.449005048787752,-6.449005048787751,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.9023540891722077e-17,-1.902354089172208e-17,0.05071449516264534,0.05071449516264534,3
0.4,0.5241379310344828,-6.57785517323597,-10.503160794699292,2.2662762572034003,-6.57785517323597,-5.912408581446606,36.841361487904635,9.730251093279394,0.0,0.3603298553194183,0.0,1.9340310048035494,4
0.4,0.6482758620689655,-6.57785517323597,-11.978152923799549,4.409324649326849,-6.57785517323597,-5.981844253816698,36.841361487904635,15.013803467385895,0.0,0.3992262001518222,0.0,3.2402403996048945,5
0.4,0.7724137931034483,-6.57785517323597,-31.91120605875679,20.684594381470127,-6.57785517323597,-5.977835039233005,36.841361487904635,15.013803467385895,0.0,0.41588830833572754,0.0,19.22819881277697,5
0.4,0.896551724137931,-6.57785517323597,-31.672928498132347,20.490041567908474,-6.57785517323597,-5.977835039232994,36.841361487904635,15.152432903497814,0.0,0.41588830833596485,0.0,22.104816892742946,5
0.4,1.0206896551724138,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,1.1448275862068966,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,1.2689655172413792,-6.57785517323597,-7.777855173235968,0.9797958971132709,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,1.3931034482758622,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,1.5172413793103448,-6.57785517323597,-7.777855173235968,0.9797958971132701,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,1.6413793103448278,-6.57785517323597,-7.777855173235968,0.9797958971132701,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,1.7655172413793103,-6.57785517323597,-7.777855173235973,0.9797958971132744,-6.57785517323597,-7.777855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,1.8896551724137929,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,2.013793103448276,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,2.1379310344827585,-6.57785517323597,-17.35690564700106,8.80105785747658,-6.57785517323597,-5.977835039232994,36.841361487904635,15.152432903497814,0.0,0.41588830833596485,0.0,22.104816892742946,5
0.4,2.2620689655172415,-6.57785517323597,-8.177855173235972,0.8000000000000014,-6.57785517323597,-8.177855173235972,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,2.386206896551724,-6.57785517323597,-8.177855173235972,0.8000000000000019,-6.57785517323597,-8.177855173235972,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,2.5103448275862066,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,2.6344827586206896,-6.57785517323597,-15.40812766726591,7.20988730003559,-6.57785517323597,-5.977835039232994,36.841361487904635,15.152432903497814,0.0,0.41588830833596485,0.0,22.104816892742946,5
0.4,2.758620689655172,-6.57785517323597,-7.777855173235968,0.9797958971132701,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,2.882758620689655,-6.57785517323597,-7.777855173235968,0.9797958971132709,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.0068965517241377,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.1310344827586207,-6.57785517323597,-6.977855173235973,0.7999999999999978,-6.57785517323597,-6.977855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,3.2551724137931033,-6.57785517323597,-8.177855173235967,0.799999999999999,-6.57785517323597,-8.177855173235967,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.379310344827586,-6.57785517323597,-7.777855173235968,0.9797958971132709,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.503448275862069,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,3.6275862068965514,-6.57785517323597,-7.777855173235973,0.9797958971132734,-6.57785517323597,-7.777855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,3.7517241379310344,-6.57785517323597,-6.577855173235973,3.2269124482882016e-15,-6.57785517323597,-6.577855173235973,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,3.875862068965517,-6.57785517323597,-6.57785517323597,0.0,-6.57785517323597,-6.57785517323597,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
