beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,n_valid,n_invalid,used_valid
0.4,0.4,-6.119524806525122,-6.119524806525122,0.0,-6.119485452373599,-6.119485452373599,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.1102288992182913e-16,-1.1102288992182913e-16,1.574166060923085e-05,1.574166060923085e-05,8,8,0,True
0.4,0.8,-6.012574198997146,-6.012574198997146,0.0,-5.597063768672826,-5.597063768672826,-1.4802973661668768e-16,-1.4802973661668768e-16,-3.010550511425319e-16,-3.010550511425319e-16,0.3324083442594562,0.3324083442594562,9,8,1,True
0.4,1.2000000000000002,-5.836605802983474,-5.836605802983474,0.0,-5.411523138251458,-5.411523138251458,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.0521017981159389e-16,-1.0521017981159389e-16,0.5100991976784187,0.5100991976784187,10,8,2,True
0.4,1.6,-5.720516218060766,-5.720516218060766,0.0,-5.340670850141755,-5.340670850141755,-1.4802973661668768e-16,-1.4802973661668768e-16,-3.11604971634839e-16,-3.11604971634839e-16,0.6077525886704187,0.6077525886704187,11,8,3,True
0.4,2.0,-5.640152427188911,-5.640152427188911,0.0,-5.299906466788468,-5.299906466788468,-1.4802973661668768e-16,-1.4802973661668768e-16,-2.3170661071786825e-17,-2.3170661071786825e-17,0.6804919208008857,0.6804919208008857,12,8,4,True
0.4,2.4,-5.581103969407151,-5.581103969407151,0.0,-5.2736135323259905,-5.2736135323259905,-1.4802973661668768e-16,-1.4802973661668768e-16,1.9721522630525295e-31,1.9721522630525295e-31,0.7379770489947834,0.7379770489947834,12,8,4,True
0.4,2.8000000000000003,-5.535831795387946,-5.535831795387946,0.0,-5.255899803596672,-5.255899803596672,-1.4802973661668768e-16,-1.4802973661668768e-16,-6.110376903172546e-17,-6.110376903172546e-17,0.7838095770155662,0.7838095770155662,12,8,4,True
0.4,3.2,-5.500027322809975,-5.500027322809975,0.0,-5.243611179143601,-5.243611179143601,-1.4802973661668768e-16,-1.4802973661668768e-16,-9.797705869734038e-17,-9.797705869734038e-17,0.8205316597323992,0.8205316597323992,12,8,4,True
0.4,3.6,-5.4710239712400295,-5.4710239712400295,0.0,-5.234857897730154,-5.234857897730154,-1.4802973661668768e-16,-1.4802973661668768e-16,1.6912027091994107e-17,1.6912027091994107e-17,0.8501978646355502,0.8501978646355502,12,8,4,True
0.4,4.0,-5.447071608797247,-5.447071608797247,0.0,-5.22846357742311,-5.22846357742311,-1.4802973661668768e-16,-1.4802973661668768e-16,-9.548805164950956e-17,-9.548805164950956e-17,0.8744321254965456,0.8744321254965456,12,8,4,True
0.8,0.4,-6.040762272390996,-6.0964849101965015,0.03386109469778539,-5.672787442559441,-5.971312500222428,1.0985421816279972,0.3322928913947919,0.27172418107778956,0.08985550616044642,0.011327841393727386,0.005141210909406019,12,12,0,True
0.8,0.8,-6.012348621450813,-6.012704729507487,0.00040432676953787807,-5.597064302110062,-5.597063698435637,0.16459006116585725,0.05642654761707314,0.000593484426722918,9.507447835914856e-05,0.3316339710458776,0.33241775037911975,12,12,0,True
0.8,1.2000000000000002,-5.836605802983473,-5.836605802983473,0.0,-5.411523138251458,-5.411523138251458,-1.4802973661668768e-16,-1.4802973661668768e-16,-2.5078231959665313e-17,-2.5078231959665313e-17,0.5100991976784184,0.5100991976784184,12,8,4,True
0.8,1.6,-5.720516218060766,-5.720516218060766,0.0,-5.340670850141755,-5.340670850141755,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.8845506935179197e-16,-1.8845506935179197e-16,0.6077525886704187,0.6077525886704187,12,8,4,True
0.8,2.0,-5.640152427188911,-5.640152427188911,0.0,-5.299906466788468,-5.299906466788468,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.9887394385324443e-16,-1.9887394385324443e-16,0.6804919208008858,0.6804919208008858,12,8,4,True
0.8,2.4,-5.581103969407149,-5.581103969407149,0.0,-5.273613532325989,-5.273613532325989,-1.4802973661668768e-16,-1.4802973661668768e-16,-2.115236053417963e-17,-2.115236053417963e-17,0.7379770489947836,0.7379770489947836,12,8,4,True
0.8,2.8000000000000003,-5.535831795387946,-5.535831795387946,0.0,-5.255899803596672,-5.255899803596672,-1.4802973661668768e-16,-1.4802973661668768e-16,-2.6378172504182945e-16,-2.6378172504182945e-16,0.7838095770155661,0.7838095770155661,12,8,4,True
